
> llm-test-generation@1.0.0 test:coverage
> jest --coverage --coverageProvider=v8

--------------------|---------|----------|---------|---------|-------------------------
File                | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s       
--------------------|---------|----------|---------|---------|-------------------------
All files           |   88.46 |    97.82 |       0 |   88.46 |                         
 src                |     100 |      100 |     100 |     100 |                         
  app.ts            |     100 |      100 |     100 |     100 |                         
 src/routes         |     100 |    97.82 |     100 |     100 |                         
  auth.ts           |     100 |      100 |     100 |     100 |                         
  orders.ts         |     100 |     92.3 |     100 |     100 | 60                      
  products.ts       |     100 |      100 |     100 |     100 |                         
  users.ts          |     100 |      100 |     100 |     100 |                         
 src/services       |   67.39 |      100 |       0 |   67.39 |                         
  AuthService.ts    |   71.42 |      100 |       0 |   71.42 | 9-10,13-14,17-18        
  OrderService.ts   |   68.42 |      100 |       0 |   68.42 | 18-19,22-23,26-31,34-35 
  ProductService.ts |   68.42 |      100 |       0 |   68.42 | 18-19,22-23,26-31,34-35 
  UserService.ts    |   63.41 |      100 |       0 |   63.41 | 20-22,25-27,30-36,39-40 
--------------------|---------|----------|---------|---------|-------------------------
